	Cruise	position	Station	Type	Date	Time	Latitude	Longitude	cast	Niskin	Cast_Type	depth	Pressure	Density00	Density11	Sal11	SoundVel	SoundVel1	Oxygen_uM	Oxygen_V	Temperature	Conductivity	Conductivity1	BeamT	BeamAt	Fluorescence	Turbidity	UVP5	POC	PON	TOC	TOC_QF	TOC_sd	DOC	DOC_QF	DOC_sd	TN	TN_QF	TN_sd	TDN	TDN_QF	TDN_sd	NH4	NH4_sd	PO4	PO4_sd	SiO4	SiO4_sd	N_N	N_N_sd	NO2	NO2_sd	O2_Winkler	O2_Winkler_sd	Chl_a_Fluor	Phaeo_Fluor	T_a_Fluor	TChl_a	TChl_b	TChl_c	Alpha_beta_Car	But_fuco	Hex_fuco	Allo	Diadino	Diato	Fuco	Perid	Zea	MV_Chl_a	DV_Chl_a	Chlide_a	MV_Chl_b	DV_Chl_b	Chl_c2	Chl_c3	Lut	Neo	Viola	Phytin_a	Phide_a	Pras	Gyro	TChl	PPC	PSC	PSP	TCar	TAcc	TPg	DP	TAcc_Tchla	PSC_TCar	PPC_TCar	TChl_TCar	PPC_Tpg	PSP_TPg	TChla_TPg	BactProd	BactProd_QF	BactProd_sd	BactAbund	BactAbund_QF	BactAbund_sd	PhytoC	NPP	Pro_Influx	Syn_Influx	Pico_Influx	Nano_Influx	TPhyto	Nano	Pico	TPhyto_Sytox	Nano_Sytox	Pico_Sytox	TPhyto_ROS	Nano_ROS	Pico_ROS	Z_MLD	Z_XML	N2	Eddy	Eddy_Loc	Eddy_Polarity	Eddy_Retention	Subregion	MSLA	SLA_std	DMS	EZD	EZD_Morel	Vitamins
NAAMES1-11_S11	AT32	11	2	Cast	11/14/15	11:29	54.1	-40.167	morning	18	Deep	50	51.935	1027.5792	1027.5799	34.6581	1473.32	1473.33	0	2.5478	5.5396	3.366926	3.367049	97.4015	0.1053	0.8424	0.0963	4.5994343	46.7					52.7	2	0.3				12.2	2	0	0		0.56		4.56		10.11		0.25		6.74	0.17	0.314105748	0.11618528	0.430291029	0.513	0.062	0.155	0.017	0.064	0.165	0.017	0.029	0.001	0.078	0.018	0.006	0.506		0.007	0.062		0.072	0.083	0.009	0.006	0.01	0.005	0.01	0.01		0.73	0.07	0.325	1.055	0.395	0.612	1.125	0.41	1.19	0.82	0.18	1.85	0.06	0.94	0.46	9.99	2	0.15	4.26	2																				N				Subpolar			0.64		49.5	no
NAAMES1-12_S12	AT32	12	2	Cast	11/14/15	11:29	54.1	-40.167	morning	16	Deep	75	77.681	1027.6987	1027.6997	34.6606	1473.78	1473.78	0	2.5405	5.5473	3.368929	3.369136	97.4315	0.1041	0.9481	0.083	4.6991079																											0.419453571	0.120901385	0.540354956	0.511	0.064	0.152	0.017	0.063	0.163	0.017	0.028	0.001	0.076	0.019	0.006	0.504		0.007	0.064		0.07	0.082	0.01	0.006	0.011	0.005	0.011	0.009		0.727	0.069	0.321	1.048	0.39	0.606	1.117	0.408	1.19	0.82	0.18	1.86	0.06	0.94	0.46																									N				Subpolar			0.64		49.5	no
NAAMES1-13_S13	AT32	13	2	Cast	11/14/15	11:29	54.1	-40.167	morning	13	Deep	100	101.574	1027.8249	1027.8255	34.6831	1474.27	1474.27	0	2.5222	5.5652	3.373681	3.373813	97.8108	0.0886	0.8517	0.082	4.8286835	37.4					54.4	2	0.3				15.1	2	0	0.03		0.48		4.58		10.53		0.25		6.9	0.01	0.268602909	0.089115827	0.357718736	0.432	0.054	0.136	0.015	0.058	0.152	0.013	0.02	0.001	0.063	0.011	0.004	0.426		0.006	0.054		0.057	0.079	0.008	0.005	0.008	0.007	0.01	0.008		0.622	0.053	0.284	0.906	0.337	0.527	0.959	0.355	1.22	0.84	0.16	1.85	0.06	0.94	0.45	8.45	2	0.56	3.62	2																				N				Subpolar			0.64		49.5	no
NAAMES1-14_S14	AT32	14	2	Cast	11/14/15	11:29	54.1	-40.167	morning	11	Deep	150	151.498	1028.3161	1028.318	34.8107	1469.7	1469.7	0	2.3167	4.2021	3.264481	3.264496	99.6423	0.0143	0.0385	0.044	4.604418	15					50.2	2	0.9				20.1	2	0	0		1.09		9.42		16.81		0.1		6.36	0.03	6.51E-04	0.010408046	0.011058809																																										0.4	2	0.07	1.04	2																				N				Subpolar			0.64		49.5	no
NAAMES1-15	AT32	15	2	Cast	11/14/15	11:29	54.1	-40.167	morning	9	Deep	200	202.889	1028.6003	1028.6013	34.8558	1470.25	1470.25	0	2.3153	4.1183	3.263023	3.263154	99.7072	0.0117	0.0267	0.0395	4.6094017	11.9					49.5	2	0.4				20.8	2	0	0		1.15		9.88		16.98		0.07		6.45	0.04	0.002381612	0.013962918	0.01634453																																										0.29	2	0.09	0.92	2																				N				Subpolar			0.64		49.5	no
NAAMES1-16	AT32	16	2	Cast	11/14/15	11:29	54.1	-40.167	morning	7	Deep	300	303.871	1029.0959	1029.0966	34.871	1471.34	1471.34	0	2.3221	3.9787	3.256359	3.256536	99.7519	0.0099	0.0137	0.0432	4.589467						50	2	0.8				20.7	2	0	0		1.16		9.54		17.04		0.03		6.59	0.02																																													0.33	2	0.05	0.9	2																				N				Subpolar			0.64		49.5	no
NAAMES1-17_S15	AT32	17	3	Cast	11/16/15	11:35	51.117	-40.1	morning	24	Deep	5	10.598	1026.8	1026.8004	34.1994	1478.84	1478.84	0	2.5877	7.2612	3.479802	3.479889	95.9683	0.1646	1.3896	0.0922	4.6094017	100.7					59.3	2	1.8				8.3	2	0	0		0.38		2.29		4.33		0.13		6.66	0.01	0.844389873	0.20717898	1.051568853	1.091	0.136	0.271	0.035	0.089	0.167	0.025	0.063	0.002	0.248	0.108	0.011	1.041		0.05	0.136		0.15	0.121	0.002	0.014	0.011	0.011	0.031	0.018		1.498	0.136	0.612	2.11	0.748	1.155	2.246	0.784	1.06	0.82	0.18	2	0.06	0.94	0.49	9.91	2	0.06	4.2	2		8.63															6.40E+01	3.37E+01	4.16E-05	Y	Periphery	Cyclone	Strong	Temperate	-9.9	1.4	1.32		35	no
NAAMES1-18_S16	AT32	18	3	Cast	11/16/15	11:35	51.117	-40.1	morning	20	Deep	25	26.462	1026.8752	1026.8757	34.2018	1479.08	1479.08	0	2.5823	7.2565	3.480268	3.4804	95.9504	0.1653	1.3993	0.0961	4.6094017	101.2					58.4	2	0.3				8.3	2	0.4	0		0.39		2.24		4.38		0.17		6.67	0.02	0.900682531	0.174660183	1.075342715	1.057	0.13	0.256	0.034	0.084	0.157	0.025	0.06	0.002	0.241	0.106	0.01	1.017		0.04	0.13		0.142	0.114	0.001	0.013	0.011	0.009	0.028	0.017		1.443	0.131	0.588	2.031	0.719	1.105	2.162	0.753	1.05	0.82	0.18	2.01	0.06	0.94	0.49	9.11	2	0.4	4.69	2																				Y	Periphery	Cyclone	Strong	Temperate	-9.9	1.4	1.32		35	no
NAAMES1-19_S17	AT32	19	3	Cast	11/16/15	11:35	51.117	-40.1	morning	18	Deep	50	51.368	1027.0051	1027.0055	34.2066	1479.17	1479.17	0	2.5746	7.1725	3.474172	3.474355	95.6332	0.1786	1.5176	0.0996	4.6143854	112					58.7	2	0.2				8.2	2	0	0		0.37		2.21		4.33		0.18		6.71	0.04	0.833341781	0.17346381	1.006805591	1.285	0.159	0.311	0.04	0.097	0.198	0.03	0.078	0.002	0.278	0.148	0.012	1.231		0.054	0.159		0.174	0.137	0.002	0.017	0.013	0.012	0.031	0.018		1.755	0.162	0.721	2.476	0.883	1.353	2.638	0.922	1.05	0.82	0.18	1.99	0.06	0.94	0.49	10.26	2	0.78	4.61	2																				Y	Periphery	Cyclone	Strong	Temperate	-9.9	1.4	1.32		35	no
NAAMES1-20_S18	AT32	20	3	Cast	11/16/15	11:35	51.117	-40.1	morning	16	Deep	75	75.896	1027.3666	1027.3598	34.4739	1479.01	1479.04	0	2.2979	6.9474	3.479079	3.479361	98.9209	0.0434	0.1617	0.0473	4.6094017																											0.076284043	0.057100106	0.133384149	0.113	0.013	0.026	0.004	0.007	0.011	0.002	0.005		0.044	0.002	0.002	0.11		0.003	0.013		0.012	0.014		0.001	0.001	0.002	0.011	0.004		0.152	0.013	0.064	0.216	0.077	0.116	0.229	0.081	1.03	0.83	0.17	1.97	0.06	0.94	0.49																									Y	Periphery	Cyclone	Strong	Temperate	-9.9	1.4	1.32		35	no
NAAMES1-21_S19	AT32	21	3	Cast	11/16/15	11:35	51.117	-40.1	morning	13	Deep	100	102.297	1027.6114	1027.6113	34.624	1479.34	1479.32	0	2.1595	6.8585	3.48662	3.486056	99.4271	0.023	0.0475	0.044	4.604418	40.2					52.6	2	0.9				16.4	2	0	0		0.96		7.62		14.08		0.06		5.63	0.25	0.031802584	0.033715983	0.065518567	0.009	0.001	0.003	0.001	0.001	0.001		0.001		0.004			0.008		0.001	0.001		0.002	0.001					0.003			0.013	0.002	0.006	0.019	0.008	0.012	0.021	0.007	1.33	0.75	0.25	1.63	0.1	0.9	0.43	0.6	2	0.3	1.18	2																				Y	Periphery	Cyclone	Strong	Temperate	-9.9	1.4	1.32		35	no
NAAMES1-22_S20	AT32	22	3	Cast	11/16/15	11:35	51.117	-40.1	morning	11	Deep	150	152.321	1028.0301	1028.0296	34.7463	1477.61	1477.63	0	1.9851	6.1801	3.436907	3.437467	99.5355	0.0186	0.0216	0.0375	4.6094017	14.9					49.5	2	1.6				20.4	2	0	0		1.21		10.99		18.56		0		5.05	0.05	0.002819974	0.016958281	0.019778255																																										0.5	2	0.2	1	2																				Y	Periphery	Cyclone	Strong	Temperate	-9.9	1.4	1.32		35	no
NAAMES1-23_S21	AT32	23	3	Cast	11/16/15	11:35	51.117	-40.1	morning	9	Deep	200	202.553	1028.3722	1028.3732	34.7458	1474.96	1474.96	0	2.0542	5.3035	3.360252	3.360247	99.5661	0.0174	0.0603	0.0394	4.6094017	21.1					50.3	2	1.5				20.8	2	0	0		1.17		11.14		18.35		0.06		5.41	0.03	0.004113694	0.027514033	0.031627727																																										0.17	2	0.14	0.97	2																				Y	Periphery	Cyclone	Strong	Temperate	-9.9	1.4	1.32		35	no
NAAMES1-24	AT32	24	3	Cast	11/16/15	11:35	51.117	-40.1	morning	7	Deep	300	303.913	1028.9869	1028.9882	34.8273	1473.94	1473.94	0	2.189	4.6191	3.310279	3.310217	99.5977	0.0161	0.0268	0.0394	4.6094017						48.9	2	0.9				19.7	2	0	0		1.1		10.44		17.59		0.1		6.01	0.02																																													0.46	2	0.09	0.87	2																				Y	Periphery	Cyclone	Strong	Temperate	-9.9	1.4	1.32		35	no
