	Domain	Phylum	Class	Order	Family	Genus
N83	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
N84	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N85	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N86	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N87	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N88	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.4
N89	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N90	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N91	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N92	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N93	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N94	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N95	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N96	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N97	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N98	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N99	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N100	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N101	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib.2
N102	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N103	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N104	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N105	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N106	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N107	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N108	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N109	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N110	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.4.N1	
N111	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N112	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N113	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N114	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N115	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N116	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N117	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N118	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N119	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N120	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N122	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade5	SAR202_clade5	
N123	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N124	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N125	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.A
N126	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.4
N129	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N130	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.4
N131	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N132	Bacteria					
N133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter
N135	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N136	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N137	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	
N138	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N139	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N140	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.1
N142	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N143	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N145	Bacteria					
N146	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N147	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.1
N148	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	IV	IV
N149	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N150	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N151	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N152	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N153	Bacteria	Proteobacteria	Alphaproteobacteria			
N154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N155	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib_other
N156	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N157	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
N158	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N160	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIb
N161	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N162	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
N163	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
