	Domain	Phylum	Class	Order	Family	Genus
N2765	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Pelagicoccus
N2766	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
N2767	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N2768	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	
N2769	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N2770	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales		
N2771	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
N2772	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N2773	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Id
N2774	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Candidatus_Endoecteinascidia
N2775	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N2776	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29		
N2777	Bacteria	Gracilibacteria				
N2779	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N2780	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N2781	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N2782	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2783	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	
N2784	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	
N2785	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N2786	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2787	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N2788	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	MWH-UniP1_aquatic_group
N2789	Bacteria	Gracilibacteria				
N2790	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.1
N2792	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2793	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N2794	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	
N2795	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N2796	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N2797	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	
N2798	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N2799	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	
N2800	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N2801	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade4	SAR202_clade4	
N2802	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N2803	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N2804	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2805	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	
N2806	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N2807	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N2808	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2809	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N2810	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	
N2811	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N2812	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N2813	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus
N2814	Bacteria	Proteobacteria	Deltaproteobacteria			
N2815	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2816	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
N2817	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N2818	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N2820	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	
N2821	Bacteria	Proteobacteria	ARKICE-90			
N2822	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N2823	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N2825	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIb
N2826	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N2827	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N2828	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2829	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N2830	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2831	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.1
N2832	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N2833	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N2834	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N2835	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales		
N2837	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N2838	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
N2839	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N2840	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.A
N2841	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N2843	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.1
N2844	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N2845	Bacteria					
N2846	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N2847	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N2848	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N2849	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N2850	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N2851	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2854	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	
N2856	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N2857	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N2858	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	
N2859	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2860	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2862	Bacteria	Verrucomicrobia	Opitutae	Opitutae	Opitutae	
N2863	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2864	Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_s6		
N2865	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N2866	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
N2867	Bacteria	Proteobacteria	JTB23			
N2868	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N2869	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N2870	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N2871	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N2872	Bacteria	Proteobacteria	Deltaproteobacteria			
N2874	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29		
N2875	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N2877	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	I_basal
N2878	Bacteria					
N2879	Bacteria	Verrucomicrobia	Opitutae	Opitutae	Opitutae	
N2880	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N2882	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N2883	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N2885	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29		
N2886	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.1
N2887	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N2888	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2889	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes:BD2-11		
N2890	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
N2891	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N2892	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2893	Bacteria	Proteobacteria	SPOTSOCT00m83			
N2894	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N2895	Bacteria	Proteobacteria	Alphaproteobacteria	SB1-18		
N2896	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N2897	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N2898	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	
N2899	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N2900	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N2901	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.1
N2902	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N2903	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N2904	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N2905	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N2906	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N2908	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2909	Bacteria					
N2911	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2912	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2913	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N2915	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	
N2917	Bacteria					
N2918	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	
N2919	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N2921	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade5	SAR202_clade5	
N2922	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N2923	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.A
N2924	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2925	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N2926	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N2927	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N2929	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N2930	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2931	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N2932	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	marine_group
N2933	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N2934	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N2935	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2936	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N2937	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2938	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N2939	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales		
N2940	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N2941	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N2944	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N2945	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina
N2947	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2948	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N2951	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
N2952	Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_s6		
N2953	Bacteria	Proteobacteria				
N2954	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N2955	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group		
N2956	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	
N2957	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.1
N2958	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	
N2960	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
N2961	Bacteria					
N2962	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N2963	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	
N2964	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N2965	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N2966	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N2968	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	MWH-UniP1_aquatic_group
N2969	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N2970	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2971	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	
N2972	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N2973	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N2974						
N2975	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea
N2976	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	
N2977	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2978	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N2982	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N2983	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29		
N2984	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N2985	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N2988	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N2989	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N2990	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N2991	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2992	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIb
N2993	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales		
N2994	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2995	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N2996	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N2997	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N2998	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	I_basal
N2999	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade4	SAR202_clade4	
N3000	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3001	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3002	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N3003	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib.2
N3004	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N3005	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N3006	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes:BD2-11		
N3007	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
N3008	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	I_basal
N3009	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3010	Bacteria					
N3011	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N3012	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3013	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade5	SAR202_clade5	
N3014	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N3016	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N3017	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N3018	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group		
N3020	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N3021	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N3023	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aurantimonas
N3024	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N3025	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N3026	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N3027	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N3028	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	
N3029	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N3032	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29		
N3033	Bacteria	Chloroflexi				
N3034	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N3035	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
N3036	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3037	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3038	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N3039	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
N3040	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3041	Bacteria	Proteobacteria	Alphaproteobacteria			
N3042	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N3043	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N3045	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N3046	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N3047	Bacteria	Bacteroidetes				
N3048	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	
N3049	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.1
N3050	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3051	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Balneatrix
N3052	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	
N3053	Bacteria	Proteobacteria	Deltaproteobacteria			
N3054	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade5	SAR202_clade5	
N3055	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
N3056	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3057	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	I_basal
N3058	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N3059	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N3061	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3062	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N3063	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales		
N3064	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
N3065	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3066	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	
N3067	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N3068	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3069	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N3070	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus
N3071	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N3072	Bacteria	Proteobacteria	Alphaproteobacteria			
N3073	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3074	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N3075	Bacteria					
N3076	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30		
N3078	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3080	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus
N3082	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3083	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N3084	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N3085	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3086	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N3087	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3088	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N3089	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
N3090	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N3091	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3092	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	
N3093	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3094	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N3095	Bacteria	Verrucomicrobia	Opitutae	Opitutae	Opitutae	
N3096	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib.2
N3097	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N3098	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3099	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N3100	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N3102	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N3103	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N3104	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales		
N3105	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula
